term_str,n,n_chars,p,i,max_pos,n_pos,cat_pos,max_pos_group,stop,dfidf,stem_porter,stem_snowball,stem_lancaster,df,idf,mean_tfidf,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
defended,3,8,2.7542670482244616e-06,18.4699001222438,VBN,2,"{'VBD', 'VBN'}",VB,0,17.954679322829374,defend,defend,defend,3,5.984893107609792,0.000311698707008304,0,0,0,0,0,0,1,0,0,1,1
defender,2,8,1.836178032149641e-06,19.054862622964958,NN,1,{'NN'},NN,0,13.139711216661896,defend,defend,defend,2,6.569855608330948,9.040719788515796e-05,0,0,0,0,0,0,1,0,0,1,1
defense,99,7,9.089081259140724e-05,13.425506002885347,NNP,3,"{'NN', 'VBZ', 'NNP'}",NN,0,98.00827773304388,defens,defens,defens,54,1.8149681061674794,0.003762155856742626,1,1,0,1,0,0,1,0,0,0,1
defenseless,3,11,2.7542670482244616e-06,18.4699001222438,NN,1,{'NN'},NN,0,17.954679322829374,defenseless,defenseless,defenseless,3,5.984893107609792,0.0003886106724748266,0,0,0,1,0,1,0,1,0,0,-1
defiance,6,8,5.508534096448923e-06,17.4699001222438,NN,1,{'NN'},NN,0,29.90935864565875,defianc,defianc,defy,6,4.984893107609792,0.0005791254162286057,1,0,1,1,0,1,0,0,0,0,-1
defiant,7,7,6.426623112523744e-06,17.247507700907352,NN,2,"{'NN', 'JJ'}",NN,0,33.33750480391341,defiant,defiant,defy,7,4.762500686273344,0.0005537056556806404,1,0,0,0,0,1,0,0,0,0,-1
deflate,1,7,9.180890160748206e-07,20.054862622964958,VB,1,{'VB'},VB,0,7.569855608330948,deflat,deflat,defl,1,7.569855608330948,0.00012648046129207932,1,0,0,0,0,1,0,1,0,0,-1
deformed,1,8,9.180890160748206e-07,20.054862622964958,NN,1,{'NN'},NN,0,7.569855608330948,deform,deform,deform,1,7.569855608330948,0.0002032721699336989,0,0,1,0,0,1,0,1,0,0,-1
defy,2,4,1.836178032149641e-06,19.054862622964958,VBP,1,{'VBP'},VB,0,13.139711216661896,defi,defi,defy,2,6.569855608330948,0.00018095642335965687,1,0,0,1,0,1,0,1,1,0,-1
delay,8,5,7.344712128598564e-06,17.054862622964958,VB,2,"{'NN', 'VB'}",VB,0,36.55884486664758,delay,delay,delay,8,4.569855608330948,0.0006470782011717115,1,0,1,1,0,1,0,1,0,0,-1
delegate,1,8,9.180890160748206e-07,20.054862622964958,VB,1,{'VB'},VB,0,7.569855608330948,deleg,deleg,deleg,1,7.569855608330948,0.00011548216031015938,0,0,0,0,0,0,1,0,0,1,1
delicious,17,9,1.560751327327195e-05,15.967399781714619,JJ,3,"{'NN', 'RB', 'JJ'}",JJ,0,52.67500960782681,delici,delici,delicy,14,3.7625006862733437,0.0012703173080991898,0,0,0,0,1,0,1,0,0,0,1
delight,29,7,2.6624581466169797e-05,15.196881627837385,NN,3,"{'NN', 'VB', 'JJ'}",NN,0,73.14998546390558,delight,delight,delight,25,2.925999418556223,0.0016980053127920226,0,1,0,0,1,0,1,0,0,0,1
delighted,71,9,6.518432014131225e-05,13.905115503460276,VBN,7,"{'NN', 'VBN', 'VBD', 'VBZ', 'IN', 'JJ', 'NNP'}",VB,0,99.00703886747377,delight,delight,delight,57,1.7369655941662063,0.0024616872255180068,0,1,0,0,1,0,1,0,1,0,1
delightful,2,10,1.836178032149641e-06,19.054862622964958,JJ,1,{'JJ'},JJ,0,13.139711216661896,delight,delight,delight,2,6.569855608330948,0.00023761885495229542,0,1,0,0,1,0,1,0,0,1,1
delinquent,2,10,1.836178032149641e-06,19.054862622964958,NN,2,"{'NN', 'NNS'}",NN,0,13.139711216661896,delinqu,delinqu,delinqu,2,6.569855608330948,0.00033110583184625295,1,0,1,0,0,1,0,0,0,0,-1
delirious,1,9,9.180890160748206e-07,20.054862622964958,JJ,1,{'JJ'},JJ,0,7.569855608330948,deliri,deliri,deliry,1,7.569855608330948,0.00010738907090836923,0,0,0,0,0,1,0,1,0,0,-1
delivery,7,8,6.426623112523744e-06,17.247507700907352,NN,1,{'NN'},NN,0,33.33750480391341,deliveri,deliveri,delivery,7,4.762500686273344,0.0006888456936835519,0,1,0,0,0,0,1,0,0,0,1
deluge,1,6,9.180890160748206e-07,20.054862622964958,NN,1,{'NN'},NN,0,7.569855608330948,delug,delug,delug,1,7.569855608330948,8.973275970046168e-05,0,0,0,1,0,1,0,1,1,0,-1
delusion,2,8,1.836178032149641e-06,19.054862622964958,NN,1,{'NN'},NN,0,13.139711216661896,delus,delus,delud,2,6.569855608330948,0.0002098832596913025,1,0,0,1,0,1,0,1,0,0,-1
delusional,2,10,1.836178032149641e-06,19.054862622964958,NN,2,"{'NN', 'JJ'}",NN,0,13.139711216661896,delusion,delusion,delud,2,6.569855608330948,0.00022394107894497197,1,0,0,1,0,1,0,0,0,0,-1
demand,6,6,5.508534096448923e-06,17.4699001222438,VB,3,"{'NN', 'VBP', 'VB'}",VB,0,29.90935864565875,demand,demand,demand,6,4.984893107609792,0.0006241296706128635,1,0,0,0,0,1,0,0,0,0,-1
demented,4,8,3.672356064299282e-06,18.054862622964958,JJ,3,"{'NN', 'VBD', 'JJ'}",JJ,0,22.27942243332379,dement,dement,dem,4,5.569855608330948,0.0004277304212688933,0,0,0,1,0,1,0,0,0,0,-1
demise,2,6,1.836178032149641e-06,19.054862622964958,NNP,2,"{'NN', 'NNP'}",NN,0,13.139711216661896,demis,demis,dem,2,6.569855608330948,0.0001970641379878504,0,0,0,1,0,1,0,1,0,0,-1
demon,4,5,3.672356064299282e-06,18.054862622964958,NN,2,"{'NN', 'JJ'}",NN,0,22.27942243332379,demon,demon,demon,4,5.569855608330948,0.00042708946127436497,1,0,1,1,0,1,0,1,0,0,-1
demonic,1,7,9.180890160748206e-07,20.054862622964958,JJ,1,{'JJ'},JJ,0,7.569855608330948,demon,demon,demon,1,7.569855608330948,0.0002951210763481851,1,0,1,1,0,1,0,1,0,0,-1
denied,7,6,6.426623112523744e-06,17.247507700907352,VBD,3,"{'VBD', 'VBN', 'JJ'}",VB,0,33.33750480391341,deni,deni,deny,7,4.762500686273344,0.0006538177608319571,0,0,0,0,0,1,0,1,0,0,-1
deny,22,4,2.0197958353646054e-05,15.59543100432766,VB,4,"{'NN', 'VBP', 'VB', 'JJ'}",VB,0,61.19875092399543,deni,deni,deny,18,3.3999306068886352,0.001467036981599926,1,0,0,0,0,1,0,0,0,0,-1
denying,8,7,7.344712128598564e-06,17.054862622964958,VBG,2,"{'NN', 'VBG'}",VB,0,33.33750480391341,deni,deni,deny,7,4.762500686273344,0.0009166639636804088,0,1,0,0,0,1,0,0,0,0,-1
depart,5,6,4.590445080374103e-06,17.732934528077596,VB,1,{'VB'},VB,0,26.239637567217926,depart,depart,depart,5,5.247927513443585,0.0005703414109639632,0,1,0,0,0,0,0,1,0,0,0
departed,24,8,2.2034136385795692e-05,15.469900122243802,VBD,5,"{'NN', 'VBD', 'VBN', 'VB', 'JJ'}",VB,0,64.95855026887172,depart,depart,depart,20,3.2479275134435857,0.0014818165819665999,0,0,0,0,0,1,0,1,0,0,-1
departure,17,9,1.560751327327195e-05,15.967399781714619,NN,1,{'NN'},NN,0,54.944475190836435,departur,departur,depart,15,3.662965012722429,0.0012878685207824614,0,0,0,0,0,1,0,1,0,0,-1
depend,1,6,9.180890160748206e-07,20.054862622964958,NN,1,{'NN'},NN,0,7.569855608330948,depend,depend,depend,1,7.569855608330948,0.00010738907090836923,0,1,0,0,0,0,0,0,0,1,0
dependent,2,9,1.836178032149641e-06,19.054862622964958,VB,2,"{'VB', 'JJ'}",VB,0,13.139711216661896,depend,depend,depend,2,6.569855608330948,0.0002599827040589494,0,0,0,0,0,1,1,0,0,1,0
deplore,2,7,1.836178032149641e-06,19.054862622964958,VB,2,"{'VBP', 'VB'}",VB,0,13.139711216661896,deplor,deplor,depl,2,6.569855608330948,0.0002237783254243605,1,0,1,0,0,1,0,1,0,0,-1
depraved,1,8,9.180890160748206e-07,20.054862622964958,VBD,1,{'VBD'},VB,0,7.569855608330948,deprav,deprav,deprav,1,7.569855608330948,0.00019434802588782918,1,1,1,1,0,1,0,1,0,0,-1
depress,1,7,9.180890160748206e-07,20.054862622964958,NN,1,{'NN'},NN,0,7.569855608330948,depress,depress,depress,1,7.569855608330948,0.00015148800496960074,0,0,0,1,0,1,0,1,0,0,-1
depressed,6,9,5.508534096448923e-06,17.4699001222438,VBN,4,"{'NN', 'VBN', 'VBD', 'JJ'}",VB,0,29.90935864565875,depress,depress,depress,6,4.984893107609792,0.0005966270163803534,1,0,0,1,0,1,0,1,0,0,-1
depressing,5,10,4.590445080374103e-06,17.732934528077596,VBG,3,"{'NN', 'VBG', 'JJ'}",VB,0,26.239637567217926,depress,depress,depress,5,5.247927513443585,0.00045415102200407106,0,0,1,0,0,1,0,1,0,0,-1
depression,1,10,9.180890160748206e-07,20.054862622964958,NN,1,{'NN'},NN,0,7.569855608330948,depress,depress,depress,1,7.569855608330948,0.00012648046129207932,0,0,0,0,0,1,0,1,0,0,-1
depth,3,5,2.7542670482244616e-06,18.4699001222438,NN,1,{'NN'},NN,0,17.954679322829374,depth,depth,dep,3,5.984893107609792,0.0003351966159542964,0,0,0,0,0,0,1,0,0,1,1
deranged,3,8,2.7542670482244616e-06,18.4699001222438,JJ,1,{'JJ'},JJ,0,17.954679322829374,derang,derang,derang,3,5.984893107609792,0.00045352824806997187,1,0,1,1,0,1,0,0,0,0,-1
derision,2,8,1.836178032149641e-06,19.054862622964958,NN,1,{'NN'},NN,0,13.139711216661896,deris,deris,derid,2,6.569855608330948,0.00023713484793379396,1,0,1,0,0,1,0,0,0,0,-1
descent,9,7,8.262801144673386e-06,16.884937621522646,NN,1,{'NN'},NN,0,36.55884486664758,descent,descent,desc,8,4.569855608330948,0.0006559889627317554,0,0,0,1,0,0,0,1,0,0,0
desert,4,6,3.672356064299282e-06,18.054862622964958,VB,2,"{'NNP', 'VB'}",VB,0,17.954679322829374,desert,desert,desert,3,5.984893107609792,0.0010546994218569054,1,0,1,1,0,1,0,1,0,0,-1
deserted,105,8,9.639934668785617e-05,13.340617105298834,JJ,6,"{'NNS', 'NN', 'VBD', 'VBN', 'VB', 'JJ'}",JJ,0,100.66976595994785,desert,desert,desert,74,1.360402242701998,0.0027420453436738895,1,0,1,1,0,1,0,1,0,0,-1
deserve,17,7,1.560751327327195e-05,15.967399781714619,VBP,4,"{'NN', 'NNS', 'VBP', 'VB'}",VB,0,52.67500960782681,deserv,deserv,deserv,14,3.7625006862733437,0.0012721954242106588,1,1,0,0,0,0,1,0,0,1,1
despair,20,7,1.8361780321496413e-05,15.732934528077596,NN,2,"{'NN', 'RB'}",NN,0,59.200677040370344,despair,despair,despair,17,3.4823927670806083,0.0013775281300643352,1,0,1,1,0,1,0,1,0,0,-1
despairing,1,10,9.180890160748206e-07,20.054862622964958,VBG,1,{'VBG'},VB,0,7.569855608330948,despair,despair,despair,1,7.569855608330948,0.0001260802066677373,0,0,0,1,0,1,0,1,0,0,-1
despicable,4,10,3.672356064299282e-06,18.054862622964958,JJ,3,"{'NN', 'IN', 'JJ'}",JJ,0,22.27942243332379,despic,despic,desp,4,5.569855608330948,0.0004919023917604397,1,0,1,0,0,1,0,0,0,0,-1
despise,4,7,3.672356064299282e-06,18.054862622964958,VBP,3,"{'RB', 'VBP', 'VB'}",VB,0,13.139711216661896,despis,despis,desp,2,6.569855608330948,0.0006239747267360034,1,0,1,0,0,1,0,0,0,0,-1
destination,16,11,1.4689424257197129e-05,16.054862622964958,NN,2,"{'NN', 'POS'}",NN,0,50.30240657246812,destin,destin,destin,13,3.8694158901898557,0.001127939265873565,0,1,0,1,1,0,1,1,1,0,1
destroyed,38,9,3.488738261084318e-05,14.806935109521373,VBN,8,"{'NNS', 'RB', 'NN', 'VBD', 'VBN', 'VB', 'VBP', 'JJ'}",VB,0,71.637434582635,destroy,destroy,destroy,24,2.9848931076097918,0.002560000667002415,1,0,0,1,0,1,0,1,0,0,-1
destroying,7,10,6.426623112523744e-06,17.247507700907352,VBG,1,{'VBG'},VB,0,33.33750480391341,destroy,destroy,destroy,7,4.762500686273344,0.0007269921703234492,1,0,0,1,0,1,0,1,0,0,-1
destruction,8,11,7.344712128598564e-06,17.054862622964958,NN,1,{'NN'},NN,0,33.33750480391341,destruct,destruct,destruct,7,4.762500686273344,0.0006775329643149864,1,0,0,0,0,1,0,0,0,0,-1
destructive,2,11,1.836178032149641e-06,19.054862622964958,JJ,1,{'JJ'},JJ,0,7.569855608330948,destruct,destruct,destruct,1,7.569855608330948,0.000286628383503633,1,0,1,1,0,1,0,0,0,0,-1
detention,82,9,7.528329931813529e-05,13.697310618346874,NN,7,"{'NNS', 'RB', 'NN', 'POS', 'VB', 'VBP', 'JJ'}",NN,0,89.91710053774342,detent,detent,det,40,2.2479275134435857,0.0034619559114445224,0,0,0,0,0,1,0,1,0,0,-1
deteriorated,1,12,9.180890160748206e-07,20.054862622964958,VBN,1,{'VBN'},VB,0,7.569855608330948,deterior,deterior,detery,1,7.569855608330948,8.698983691485804e-05,0,0,1,0,0,1,0,1,0,0,-1
determination,18,13,1.6525602289346772e-05,15.884937621522646,NN,2,"{'NN', 'NNP'}",NN,0,52.67500960782681,determin,determin,determin,14,3.7625006862733437,0.001188976207327601,0,0,0,0,0,0,1,0,0,1,1
detest,3,6,2.7542670482244616e-06,18.4699001222438,VBP,2,"{'JJS', 'VBP'}",VB,0,17.954679322829374,detest,detest,detest,3,5.984893107609792,0.0003265448438918696,1,0,1,0,0,1,0,0,0,0,-1
detract,1,7,9.180890160748206e-07,20.054862622964958,VB,1,{'VB'},VB,0,7.569855608330948,detract,detract,detract,1,7.569855608330948,0.00018445067271761567,1,0,0,0,0,1,0,0,0,0,-1
devastating,1,11,9.180890160748206e-07,20.054862622964958,JJ,1,{'JJ'},JJ,0,7.569855608330948,devast,devast,devast,1,7.569855608330948,0.00016810694222364972,1,0,1,1,0,1,0,1,0,1,-1
devastation,2,11,1.836178032149641e-06,19.054862622964958,NN,1,{'NN'},NN,0,13.139711216661896,devast,devast,devast,2,6.569855608330948,0.00028937748101378176,1,0,0,1,0,1,0,1,1,0,-1
develop,5,7,4.590445080374103e-06,17.732934528077596,VB,2,"{'VBP', 'VB'}",VB,0,26.239637567217926,develop,develop,develop,5,5.247927513443585,0.0004520666259480688,0,1,0,0,0,0,1,0,0,0,1
devil,3,5,2.7542670482244616e-06,18.4699001222438,NN,1,{'NN'},NN,0,17.954679322829374,devil,devil,devil,3,5.984893107609792,0.0004880800508268764,1,1,1,1,0,1,0,1,0,0,-1
devilish,1,8,9.180890160748206e-07,20.054862622964958,JJ,1,{'JJ'},JJ,0,7.569855608330948,devilish,devilish,devil,1,7.569855608330948,6.304010333386865e-05,0,0,1,1,0,1,0,0,0,0,-1
diamond,8,7,7.344712128598564e-06,17.054862622964958,NN,2,"{'NN', 'NNP'}",NN,0,29.90935864565875,diamond,diamond,diamond,6,4.984893107609792,0.0009145676920953819,0,0,0,0,1,0,1,0,0,0,1
diary,104,5,9.548125767178133e-05,13.354422904823865,NN,4,"{'NN', 'VBZ', 'NNP', 'JJ'}",NN,0,57.117689733295165,diari,diari,diary,16,3.569855608330948,0.003564202045353787,0,0,0,0,1,0,1,0,0,1,1
diatribe,1,8,9.180890160748206e-07,20.054862622964958,NN,1,{'NN'},NN,0,7.569855608330948,diatrib,diatrib,diatrib,1,7.569855608330948,0.00026040094971898687,1,0,1,0,0,1,0,0,0,0,-1
dictionary,3,10,2.7542670482244616e-06,18.4699001222438,NNP,3,"{'NN', 'NNP', 'JJ'}",NN,0,13.139711216661896,dictionari,dictionari,dict,2,6.569855608330948,0.0003933460609221306,0,0,0,0,0,0,1,0,0,1,1
die,124,3,0.00011384303799327775,13.100666312578083,VB,9,"{'NNS', 'RB', 'NN', 'VBD', 'VBZ', 'VB', 'VBP', 'JJ', 'NNP'}",VB,0,99.98621451685176,die,die,die,61,1.6391182707680616,0.004214131342272426,0,0,0,1,0,1,0,1,0,0,-1
difficulties,5,12,4.590445080374103e-06,17.732934528077596,NNS,3,"{'NN', 'NNS', 'JJ'}",NN,0,26.239637567217926,difficulti,difficulti,difficul,5,5.247927513443585,0.0005336507586555689,0,0,0,0,0,1,0,1,0,0,-1
difficulty,61,10,5.600342998056406e-05,14.124125285402071,NN,3,"{'NN', 'NNS', 'JJ'}",NN,0,97.20962628987249,difficulti,difficulti,difficul,52,1.8694158901898557,0.002304063470831168,1,0,0,1,0,1,0,1,0,0,-1
dignity,9,7,8.262801144673386e-06,16.884937621522646,NN,1,{'NN'},NN,0,39.599375461997724,digniti,digniti,dign,9,4.399930606888636,0.0007911961642573618,0,0,0,0,0,0,1,0,0,1,1
dilapidated,3,11,2.7542670482244616e-06,18.4699001222438,JJ,2,"{'VBD', 'JJ'}",JJ,0,17.954679322829374,dilapid,dilapid,dilapid,3,5.984893107609792,0.00037995976896284666,0,0,1,0,0,1,0,1,0,0,-1
diminish,1,8,9.180890160748206e-07,20.054862622964958,VB,1,{'VB'},VB,0,7.569855608330948,diminish,diminish,dimin,1,7.569855608330948,0.00010512228313193928,0,0,0,0,0,1,0,1,0,0,-1
dire,4,4,3.672356064299282e-06,18.054862622964958,NN,3,"{'NN', 'VBP', 'JJ'}",NN,0,22.27942243332379,dire,dire,dir,4,5.569855608330948,0.00032843611271077825,0,0,1,1,0,1,0,1,1,0,-1
director,2,8,1.836178032149641e-06,19.054862622964958,NN,1,{'NN'},NN,0,13.139711216661896,director,director,direct,2,6.569855608330948,0.00036054062814763397,0,0,0,0,0,0,1,0,0,1,1
dirt,15,4,1.3771335241122308e-05,16.147972027356438,NN,4,"{'NN', 'NNS', 'NNP', 'JJ'}",NN,0,45.214663886630156,dirt,dirt,dirt,11,4.1104239896936505,0.001150788564318013,0,0,1,0,0,1,0,0,0,0,-1
dirty,63,5,5.7839608012713696e-05,14.077582699465042,NN,6,"{'NNS', 'NN', 'VBZ', 'VB', 'JJ', 'NNP'}",NN,0,92.17440670604054,dirti,dirti,dirty,43,2.14359085362885,0.0025623690886290157,0,0,1,0,0,1,0,0,0,0,-1
disable,1,7,9.180890160748206e-07,20.054862622964958,VB,1,{'VB'},VB,0,7.569855608330948,disabl,disabl,dis,1,7.569855608330948,0.00011892938897613429,0,0,0,1,0,1,0,1,0,0,-1
disagree,8,8,7.344712128598564e-06,17.054862622964958,VB,4,"{'NN', 'VBP', 'VB', 'JJ'}",VB,0,29.90935864565875,disagre,disagre,disagr,6,4.984893107609792,0.0008610095797568029,1,0,0,0,0,1,0,0,0,0,-1
disagreeing,1,11,9.180890160748206e-07,20.054862622964958,NN,1,{'NN'},NN,0,7.569855608330948,disagre,disagre,disagr,1,7.569855608330948,0.00014078213889401055,1,0,0,0,0,1,0,1,0,0,-1
disagreement,4,12,3.672356064299282e-06,18.054862622964958,NN,1,{'NN'},NN,0,22.27942243332379,disagr,disagr,disagr,4,5.569855608330948,0.0004144584123692795,1,0,0,0,0,1,0,1,0,0,-1
disappoint,2,10,1.836178032149641e-06,19.054862622964958,VB,2,"{'NN', 'VB'}",VB,0,13.139711216661896,disappoint,disappoint,disappoint,2,6.569855608330948,0.00014244729138953698,1,0,1,0,0,1,0,1,0,0,-1
disappointed,58,12,5.3249162932339595e-05,14.196881627837385,NN,6,"{'NN', 'VBN', 'VB', 'VBP', 'JJ', 'NNP'}",NN,0,93.51011304005729,disappoint,disappoint,disappoint,45,2.078002512001273,0.0022956077924131575,1,0,1,0,0,1,0,1,0,0,-1
disappointing,4,13,3.672356064299282e-06,18.054862622964958,NN,2,"{'NN', 'JJ'}",NN,0,17.954679322829374,disappoint,disappoint,disappoint,3,5.984893107609792,0.00042305878612862766,0,0,0,0,0,1,0,1,0,0,-1
disappointment,26,14,2.3870314417945334e-05,15.354422904823865,NN,2,"{'NN', 'VB'}",NN,0,73.14998546390558,disappoint,disappoint,disappoint,25,2.925999418556223,0.0014679350029782273,0,0,1,0,0,1,0,1,0,0,-1
disapproval,11,11,1.0098979176823027e-05,16.59543100432766,NN,2,"{'NN', 'JJ'}",NN,0,36.55884486664758,disapprov,disapprov,disapprov,8,4.569855608330948,0.001020801879843033,0,0,0,0,0,1,0,1,0,0,-1
disapproved,4,11,3.672356064299282e-06,18.054862622964958,VBD,2,"{'NN', 'VBD'}",VB,0,22.27942243332379,disapprov,disapprov,disapprov,4,5.569855608330948,0.00030964480588652096,1,0,0,0,0,1,0,1,0,0,-1
disapproving,14,12,1.2853246225047488e-05,16.247507700907352,VBG,4,"{'NN', 'VBG', 'VB', 'JJ'}",VB,0,52.67500960782681,disapprov,disapprov,disapprov,14,3.7625006862733437,0.000888795745836146,1,0,1,0,0,1,0,1,0,0,-1
disaster,3,8,2.7542670482244616e-06,18.4699001222438,NN,1,{'NN'},NN,0,17.954679322829374,disast,disast,disast,3,5.984893107609792,0.0004125505597748581,1,0,1,1,0,1,0,1,1,0,-1
disastrous,7,10,6.426623112523744e-06,17.247507700907352,JJ,2,"{'VB', 'JJ'}",JJ,0,22.27942243332379,disastr,disastr,disast,4,5.569855608330948,0.0007936019114795226,1,0,0,1,0,1,0,1,0,0,-1
discipline,4,10,3.672356064299282e-06,18.054862622964958,NN,2,"{'NN', 'VB'}",NN,0,17.954679322829374,disciplin,disciplin,disciplin,3,5.984893107609792,0.00047704937323602613,0,0,0,1,0,1,0,0,0,0,-1
discolored,2,10,1.836178032149641e-06,19.054862622964958,VBD,1,{'VBD'},VB,0,7.569855608330948,discolor,discolor,discol,1,7.569855608330948,0.0001739796738297161,0,0,1,0,0,1,0,1,0,0,-1
discomfort,9,10,8.262801144673386e-06,16.884937621522646,NN,1,{'NN'},NN,0,36.55884486664758,discomfort,discomfort,discomfort,8,4.569855608330948,0.0007212781531186936,0,0,0,0,0,1,0,1,0,0,-1
disconnected,2,12,1.836178032149641e-06,19.054862622964958,VBN,2,"{'VBN', 'JJ'}",VB,0,13.139711216661896,disconnect,disconnect,disconnect,2,6.569855608330948,0.0002652334446342061,0,0,0,0,0,1,0,1,0,0,-1
discord,3,7,2.7542670482244616e-06,18.4699001222438,NN,2,"{'NN', 'VB'}",NN,0,17.954679322829374,discord,discord,discord,3,5.984893107609792,0.0003477073852111247,1,0,1,0,0,1,0,0,0,0,-1
discreet,1,8,9.180890160748206e-07,20.054862622964958,JJ,1,{'JJ'},JJ,0,7.569855608330948,discreet,discreet,discreet,1,7.569855608330948,0.0001606505859153427,0,1,0,0,0,0,1,0,0,0,1
disdain,1,7,9.180890160748206e-07,20.054862622964958,NN,1,{'NN'},NN,0,7.569855608330948,disdain,disdain,disdain,1,7.569855608330948,0.00018617451078039714,1,0,1,0,0,1,0,0,0,0,-1
disease,1,7,9.180890160748206e-07,20.054862622964958,NN,1,{'NN'},NN,0,7.569855608330948,diseas,diseas,diseas,1,7.569855608330948,0.00019434802588782918,1,0,1,1,0,1,0,1,0,0,-1
diseased,3,8,2.7542670482244616e-06,18.4699001222438,JJ,1,{'JJ'},JJ,0,17.954679322829374,diseas,diseas,diseas,3,5.984893107609792,0.0003586986477844214,0,0,1,1,0,1,0,1,0,0,-1
disembodied,10,11,9.180890160748207e-06,16.732934528077596,JJ,3,"{'VBD', 'VBN', 'JJ'}",JJ,0,33.33750480391341,disembodi,disembodi,disembody,7,4.762500686273344,0.0006151964338397324,0,0,0,1,0,1,0,1,0,0,-1
disfigured,1,10,9.180890160748206e-07,20.054862622964958,VBN,1,{'VBN'},VB,0,7.569855608330948,disfigur,disfigur,disfig,1,7.569855608330948,0.00012073134941516663,1,0,1,1,0,1,0,1,0,0,-1
disgrace,4,8,3.672356064299282e-06,18.054862622964958,NN,2,"{'NN', 'NNS'}",NN,0,22.27942243332379,disgrac,disgrac,disgrac,4,5.569855608330948,0.0005286198083260736,1,0,1,0,0,1,0,1,0,0,-1
disgraced,2,9,1.836178032149641e-06,19.054862622964958,VBN,2,"{'VBN', 'JJ'}",VB,0,13.139711216661896,disgrac,disgrac,disgrac,2,6.569855608330948,0.000289605648708021,1,0,1,0,0,1,0,1,0,0,-1
disgraceful,2,11,1.836178032149641e-06,19.054862622964958,JJ,1,{'JJ'},JJ,0,13.139711216661896,disgrac,disgrac,disgrac,2,6.569855608330948,0.00034610335352219817,1,0,1,0,0,1,0,0,0,0,-1
disgruntled,18,11,1.6525602289346772e-05,15.884937621522646,JJ,8,"{'NNS', 'RB', 'NN', 'VBD', 'VBN', 'VBZ', 'VB', 'JJ'}",JJ,0,59.200677040370344,disgruntl,disgruntl,disgruntl,17,3.4823927670806083,0.0010617942786596555,1,0,1,0,0,1,0,1,0,0,-1
disgust,24,7,2.2034136385795692e-05,15.469900122243802,NN,3,"{'NN', 'VB', 'JJ'}",NN,0,70.0647540023005,disgust,disgust,disgust,23,3.046293652273935,0.0016170126221821746,1,0,1,1,0,1,0,1,0,0,-1
disgusting,23,10,2.1116047369720873e-05,15.531300666907946,VBG,4,"{'NN', 'VBG', 'NNS', 'JJ'}",VB,0,64.95855026887172,disgust,disgust,disgust,20,3.2479275134435857,0.0012562482098331113,1,0,1,1,0,1,0,0,0,0,-1
dishonor,2,8,1.836178032149641e-06,19.054862622964958,NN,2,"{'NN', 'JJ'}",NN,0,13.139711216661896,dishonor,dishonor,dishon,2,6.569855608330948,0.00030873996932129807,1,0,1,1,0,1,0,1,0,0,-1
disillusionment,11,15,1.0098979176823027e-05,16.59543100432766,NNP,3,"{'NN', 'NNP', 'JJ'}",NN,0,45.214663886630156,disillusion,disillusion,disillud,11,4.1104239896936505,0.000866953753492401,1,0,1,0,0,1,0,1,0,0,-1
dislike,34,7,3.12150265465439e-05,14.967399781714619,NN,4,"{'NN', 'VBP', 'VB', 'JJ'}",NN,0,77.35001921565362,dislik,dislik,dislik,28,2.7625006862733437,0.0017845628639371423,1,0,1,0,0,1,0,0,0,0,-1
disliked,8,8,7.344712128598564e-06,17.054862622964958,VBD,3,"{'VBD', 'VBN', 'VB'}",VB,0,36.55884486664758,dislik,dislik,dislik,8,4.569855608330948,0.0009635147499370809,1,0,0,0,0,1,0,1,0,0,-1
dismal,4,6,3.672356064299282e-06,18.054862622964958,JJ,2,"{'RB', 'JJ'}",JJ,0,22.27942243332379,dismal,dismal,dism,4,5.569855608330948,0.00039155674761743637,0,0,1,1,0,1,0,1,0,0,-1
dismay,4,6,3.672356064299282e-06,18.054862622964958,NN,2,"{'NN', 'VB'}",NN,0,22.27942243332379,dismay,dismay,dismay,4,5.569855608330948,0.00039358026956965944,1,1,0,1,0,1,0,1,1,0,-1
dismissal,6,9,5.508534096448923e-06,17.4699001222438,NN,2,"{'NN', 'NNP'}",NN,0,26.239637567217926,dismiss,dismiss,dismiss,5,5.247927513443585,0.0005789802472327977,1,0,1,1,0,1,0,1,1,0,-1
disobedience,1,12,9.180890160748206e-07,20.054862622964958,NN,1,{'NN'},NN,0,7.569855608330948,disobedi,disobedi,disobedy,1,7.569855608330948,0.0001122291417098732,1,0,1,0,0,1,0,0,0,0,-1
disobedient,1,11,9.180890160748206e-07,20.054862622964958,NN,1,{'NN'},NN,0,7.569855608330948,disobedi,disobedi,disobedy,1,7.569855608330948,0.00012109831400305468,1,0,0,0,0,1,0,0,0,0,-1
disobey,4,7,3.672356064299282e-06,18.054862622964958,VB,2,"{'NN', 'VB'}",VB,0,22.27942243332379,disobey,disobey,disobey,4,5.569855608330948,0.00036930081971521826,1,0,1,0,0,1,0,0,0,0,-1
disorder,1,8,9.180890160748206e-07,20.054862622964958,NN,1,{'NN'},NN,0,7.569855608330948,disord,disord,disord,1,7.569855608330948,0.00023163572852909878,0,0,0,1,0,1,0,0,0,0,-1
